1,1.0,1.0
2,1.5,1.5
4,2.125,2.5
8,3.125,4.5
16,4.31875,8.5
32,5.7375,16.5
64,6.715625,32.5
128,7.93828125,64.5
256,9.244921875,128.5
512,10.5423828125,256.5
1024,12.12490234375,512.5
2048,13.112548828125,1024.5
4096,15.0583740234375,2048.5
8192,16.39888916015625,4096.5
16384,17.84251708984375,8192.5
